en,de,eu,ro,it,fr,hu,et,fi
seek,suchen,bilatu,căuta,cercare,chercher,törekszik,otsima,etsiä
seem,scheinen,badirudi,părea,sembrare,sembler,látszik,tundub,näyttää
sell,verkaufen,saldu,vinde,vendere,vendre,elad,müüma,myydä
send,senden,bidali,trimite,inviare,envoyer,elküld,saada,lähettää
senior,Senior,senior,senior,anziano,Sénior,idősebb,vanem,vanhempi
sense,Sinn,zentzu,sens,senso,sens,érzék,meel,tunne
series,Serie,series,serie,serie,séries,sorozat,seeria,sarja
serious,ernst,larri,serios,grave,sérieux,komoly,tõsine,vakava
serve,Dienen,zerbitzatzeko,servi,servire,servir,szolgál,teenima,palvella
service,Bedienung,zerbitzu,serviciu,servizio,un service,szolgáltatás,teenus,palvelu
set,einstellen,multzo,a stabilit,impostato,ensemble,készlet,komplekt,sarja
seven,Sieben,zazpi,Șapte,Sette,Sept,hét,seitse,seitsemän
several,mehrere,zenbait,mai mulți,parecchi,nombreuses,számos,mitu,useat
sex,Sex,sexua,sex,sesso,sexe,szex,sugu,sukupuoli
sexual,Sexual-,sexual,sexual,sessuale,sexuel,szexuális,seksuaalne,seksuaalinen
shake,Shake,astindu,scutura,scuotere,secouer,ráz,raputama,ravistaa
share,Aktie,share,acțiune,Condividere,partager,részvény,osa,Jaa
she,sie,zuen,ea,lei,elle,ő,ta,hän
shoot,schießen,tiro,trage,sparare,tirer,lő,tulistama,ampua
short,kurz,laburrak,mic de statura,corto,court,rövid,lühike,lyhyt
shot,Schuss,jaurtiketa,lovitură,tiro,coup,lövés,lask,laukaus
should,sollte,beharko lukete,ar trebui să,dovrebbero,devrait,kellene,peaks,pitäisi
shoulder,Schulter,sorbalda,umăr,spalla,épaule,váll,õlg,olka
show,Show,ikuskizuna,spectacol,mostrare,spectacle,előadás,näitama,show
side,Seite,alboko,latură,lato,côté,oldal,pool,puoli
sign,Zeichen,zeinu,semn,cartello,signe,jel,märk,merkki
significant,von Bedeutung,esanguratsuak,semnificativ,significativo,important,jelentős,tähtis,merkittävä
similar,ähnlich,antzeko,asemănător,simile,similaire,hasonló,sarnane,samankaltainen
simple,einfach,erraz,simplu,semplice,simple,egyszerű,lihtne,yksinkertainen
simply,einfach,besterik gabe,pur şi simplu,semplicemente,simplement,egyszerűen,lihtsalt,yksinkertaisesti
since,schon seit,geroztik,de cand,da,puisque,mivel,alates,siitä asti kun
sing,singen,abestu,cânta,cantare,chanter,énekel,laulma,laulaa
single,Single,bakar,singur,singolo,unique,egyetlen,ühtne,yksittäinen
sister,Schwester,arreba,soră,sorella,sœur,lánytestvér,õde,sisko
sit,sitzen,eseri,sta,sedersi,asseoir,ül,istuma,istua
site,Seite? ˅,gune,teren,posto,site,webhely,site,paikka
situation,Situation,egoera,situatie,situazione,situation,helyzet,olukord,tilanne
six,sechs,sei,şase,sei,six,hat,kuus,kuusi
size,Größe,tamaina,mărimea,taglia,Taille,méret,suurus,koko
skill,Fertigkeit,trebetasuna,calificare,abilità,compétence,jártasság,oskus,taito
skin,Haut,azala,piele,pelle,peau,bőr,nahk,iho
small,klein,txiki,mic,piccolo,petit,kicsi,väike,pieni
smile,Lächeln,irribarre,zâmbet,"sorriso, sorridere",sourire,mosoly,naeratus,hymy
so,so,"beraz,",asa de,così,alors,így,nii,niin
social,Sozial,social,social,sociale,social,társadalmi,sotsiaalne,sosiaalinen
society,Gesellschaft,gizartea,societate,società,société,társadalom,ühiskond,yhteiskunta
soldier,Soldat,soldadu,soldat,soldato,soldat,katona,sõdur,sotilas
some,etwas,batzuk,niste,alcuni,certains,néhány,mõned,jonkin verran
somebody,jemand,norbait,cineva,qualcuno,quelqu'un,valaki,keegi,joku
someone,jemand,norbait,cineva,qualcuno,Quelqu'un,valaki,keegi,joku
something,etwas,zerbait,ceva,qualcosa,quelque chose,valami,midagi,jotain
sometimes,manchmal,batzuetan,uneori,qualche volta,parfois,néha,mõnikord,joskus
son,Sohn,son,fiu,figlio,fils,fiú,poeg,poika
song,Lied,abesti,cântec,canzone,chanson,dal,laul,laulu
soon,bald,laster,curând,presto,bientôt,hamar,varsti,pian
sort,Sortieren,moduko,fel,ordinare,Trier,fajta,sort,järjestellä
sound,klingen,soinua,sunet,suono,du son,hang,heli,ääni
source,Quelle,iturria,sursă,fonte,la source,forrás,allikas,lähde
south,Süden,hego,sud,Sud,Sud,déli,lõuna,etelä
southern,Süd-,hegoaldean,sudic,meridionale,du sud,déli,lõunapoolne,eteläinen
space,Platz,espazioa,spaţiu,spazio,espace,tér,ruum,tila
speak,sprechen,hitz egin,vorbi,parlare,parler,beszél,rääkima,puhua
special,Besondere,bereziak,special,speciale,spécial,különleges,eriline,erityinen
specific,Spezifisch,espezifikoa,specific,specifico,spécifique,különleges,konkreetne,erityinen
speech,Rede,hizkera,vorbire,discorso,discours,beszéd,kõne,puhe
spend,verbringen,gastatzen,petrece,trascorrere,dépenser,költ,kulutama,viettää
sport,Sport,Kirola,sportiv,sport,sport,Sport,Sport,Urheilu
spring,Frühling,udaberri,primăvară,primavera,printemps,tavaszi,kevad,kevät
staff,Mitarbeiter,langileak,personal,personale,Personnel,személyzet,personal,henkilöstö
stage,Bühne,etapa,etapă,palcoscenico,étape,színpad,etapp,vaihe
stand,Stand,zutik egon,stand,stare in piedi,supporter,állvány,seisma,seistä
standard,Standard,estandarra,standard,standard,la norme,alapértelmezett,standard,standardi
star,Star,izar,stea,stella,étoile,csillag,täht,tähti
start,Start,hasiera,start,inizio,début,Rajt,algus,alkaa
state,Zustand,Estatu,stat,stato,Etat,állapot,riik,osavaltio
statement,Aussage,adierazpen,afirmație,dichiarazione,déclaration,nyilatkozat,avaldus,selvitys
station,Bahnhof,geltoki,statie,stazione,station,állomás,jaam,asema
stay,bleibe,egon,stau,restare,rester,tartózkodás,jää,pysyä
step,Schritt,urrats,Etapa,passo,étape,lépés,samm,vaihe
still,immer noch,oraindik,încă,ancora,encore,még mindig,veel,vielä
stock,Stock,stock,stoc,azione,Stock,Készlet,aktsia,kalusto
stop,halt,gelditu,Stop,fermare,Arrêtez,állj meg,peatus,Stop
store,Geschäft,denda,magazin,memorizzare,le magasin,bolt,pood,myymälä
story,Geschichte,istorioa,poveste,storia,récit,sztori,lugu,tarina
strategy,Strategie,estrategia,strategie,strategia,stratégie,stratégia,strateegia,strategia
street,Straße,kalean,stradă,strada,rue,utca,tänav,katu
strong,stark,indartsu,puternic,forte,fort,erős,tugev,vahva
structure,Struktur,egitura,structura,struttura,structure,szerkezet,struktuur,rakenne
student,Student,Ikasleak,student,alunno,étudiant,diák,õpilane,opiskelija-
study,Studie,azterketa,studiu,studia,étude,tanulmány,Uuring,tutkimus
stuff,Zeug,gauza,chestie,cose,des trucs,dolog,värk,jutut
style,Stil,style,stil,stile,style,stílus,stiil,tyyli
subject,Gegenstand,gaia,subiect,soggetto,assujettir,tantárgy,teema,aihe
success,Erfolg,arrakasta,succes,successo,Succès,siker,edu,menestys
successful,erfolgreich,arrakasta,de succes,riuscito,réussi,sikeres,edukas,onnistunut
such,eine solche,"besteak beste,",astfel de,come,tel,ilyen,selline,sellainen
suddenly,plötzlich,bat-batean,brusc,ad un tratto,soudainement,hirtelen,äkki,yhtäkkiä
suffer,leiden,Jasaten,suferi,soffrire,souffrir,szenvedni,kannatama,kärsiä
suggest,vorschlagen,iradokitzen,sugera,suggerire,suggérer,javasol,soovitama,ehdottaa
summer,Sommer-,uda,vară,estate,été,nyári,suvi,kesä
support,Unterstützung,laguntza,a sustine,supporto,soutien,támogatás,toetus,tuki
sure,sicher,Ziur,sigur,sicuro,sûr,biztos,kindel,varma
surface,Oberfläche,azalera,suprafaţă,superficie,surface,felület,pind,pinta-
system,System,sisteman,sistem,sistema,système,rendszer,süsteem,järjestelmä
table,Tabelle,taula,masa,tavolo,table,asztal,tabel,pöytä
take,nehmen,hartu,lua,prendere,prendre,vesz,võtma,ottaa
talk,sich unterhalten,eztabaida,vorbi,parlare,parler,beszélgetés,rääkima,puhua
task,Aufgabe,zeregin,sarcină,compito,tâche,feladat,ülesanne,tehtävä
tax,MwSt,zerga,impozit,imposta,impôt,adó,maks,verottaa
teach,lehren,irakasteko,a preda,insegnare,apprendre,tanít,õpetama,opettaa
teacher,Lehrer,irakasle,profesor,insegnante,prof,tanár,õpetaja,opettaja
team,Mannschaft,taldeak,echipă,squadra,équipe,csapat,meeskond,tiimi
technology,Technologie,teknologia,tehnologie,tecnologia,La technologie,technológia,tehnoloogia,tekniikka
television,Fernsehen,telebistan,televiziune,televisione,télévision,televízió,televisioon,televisio
tell,sagen,esango,spune,raccontare,dire,mond,ütlema,kertoa
ten,zehn,hamar,zece,dieci,Dix,tíz,kümme,kymmenen
tend,neigen,joera,tind,tendere,tendre,hajlamosak,kipuvad,taipumus
term,Begriff,epe,termen,termine,terme,kifejezés,termin,termi
test,Prüfung,proba,Test,test,tester,teszt,test,testata
than,als,baino,decât,di,que,mint,kui,kuin
thank,danken,eskerrak,mulțumire,grazie,remercier,köszönet,tänama,kiittää
that,Das,hori,acea,quello,cette,hogy,et,että
the,das,du,,il,la,a,,
their,ihr,beren,al lor,loro,leur,azok,nende,heidän
them,Sie,horietako,lor,loro,leur,őket,neid,niitä
themselves,sich,beraiek,înșiși,loro stessi,se,maguk,end,itse
then,dann,gero,atunci,poi,puis,azután,siis,sitten
theory,Theorie,teoria,teorie,teoria,théorie,elmélet,teooria,teoria
there,Dort,ez,Acolo,Là,Là,ott,seal,siellä
these,diese,horiek,aceste,questi,celles-ci,ezek,need,nämä
they,Sie,haiek,ei,essi,ils,ők,nad,ne
thing,Ding,gauza,lucru,cosa,chose,dolog,asi,asia
think,denken,uste,gândi,pensare,pense,gondol,mõtlema,ajatella
third,dritte,hirugarren,al treilea,terzo,troisième,harmadik,kolmas,kolmas
this,diese,hau,acest,Questo,ce,ez,see,Tämä
those,jene,horiek,acestea,quelli,ceux,azok,need,nuo
though,obwohl,arren,deşi,anche se,bien que,bár,kuigi,vaikka
thought,habe gedacht,pentsatu,gândire,pensiero,pensée,gondolat,mõte,ajatus
thousand,tausend,mila,mie,mille,mille,ezer,tuhat,tuhat
threat,Drohung,mehatxua,amenințare,minaccia,menace,fenyegetés,oht,uhkaus
three,drei,hiru,Trei,tre,Trois,három,kolm,kolme
through,durch,bidez,prin,attraverso,à travers,keresztül,läbi,kautta
throughout,während,zehar,de-a lungul,per tutto,tout au long de,egész,läbi kogu,kauttaaltaan
throw,werfen,bota,arunca,gettare,jeter,dobás,viskama,heittää
thus,somit,"beraz,",prin urmare,così,Ainsi,és így,seega,täten
time,Zeit,denbora,timp,tempo,temps,idő,aeg,aika
to,zu,to,la,a,à,nak nek,et,että
today,heute,gaur,astăzi,oggi,aujourd'hui,Ma,täna,tänään
together,zusammen,elkarrekin,împreună,insieme,ensemble,együtt,koos,yhdessä
tonight,heute Abend,gaur gauean,astă seară,stasera,ce soir,ma este,täna õhtul,tänä yönä
too,auch,gehiegi,de asemenea,pure,aussi,is,ka,liian
top,oben,goiko,top,superiore,Haut,felső,top,ylin
total,gesamt,guztira,total,totale,total,teljes,kogusumma,kaikki yhteensä
tough,zäh,gogorra,greu,difficile,dure,kemény,raske,kova
toward,zu,aldera,spre,verso,vers,felé,suunas,kohti
town,"Stadt, Dorf",herri,oraș,cittadina,ville,város,linn,kaupunki
trade,Handel,merkataritza,comerț,commercio,Commerce,kereskedelmi,kaubandus,käydä kauppaa
traditional,traditionell,tradizionalak,tradiţional,tradizionale,traditionnel,hagyományos,traditsiooniline,perinteinen
training,Ausbildung,prestakuntza,Instruire,formazione,entraînement,kiképzés,koolitus,koulutus
travel,Reise,bidaia,călătorie,viaggio,Voyage,utazás,reisimine,matkustaa
treat,behandeln,tratatzeko,trata,trattare,traiter,csemege,käsitlema,kohdella
treatment,Behandlung,tratamendua,tratament,trattamento,traitement,kezelés,ravi,hoito
tree,Baum,zuhaitz,copac,albero,arbre,fa,puu,puu
trial,Versuch,epaiketa,proces,prova,procès,próba,kohtuprotsess,oikeudenkäynti
trip,Ausflug,bidaia,excursie,viaggio,voyage,utazás,reis,matka
trouble,Ärger,arazoak,bucluc,guaio,difficulté,baj,häda,vaivata
TRUE,WAHR,TRUE,ADEVĂRAT,VERO,VRAI,IGAZ,TÕSI,TOTTA
truth,Wahrheit,egia,adevăr,verità,vérité,igazság,tõde,totuus
try,Versuchen,saiatu,încerca,provare,essayer,próbáld ki,püüdma,yrittää
turn,Wende,txanda,viraj,turno,tour,fordulat,pööre,vuoro
TV,Fernseher,TV,televizor,tv,la télé,tévé,TV,TV
two,zwei,bi,Două,Due,deux,két,kaks,kaksi
type,Art,mota,tip,genere,type,típus,tüüp,tyyppi
under,unter,beherako,sub,sotto,sous,alatt,all,alla
understand,verstehen,ulertu,a intelege,capire,comprendre,megért,mõistma,ymmärtää
unit,Einheit,unitate,unitate,unità,unité,egység,üksus,yksikkö
until,bis um,arte,pana cand,fino a,jusqu'à ce que,amíg,kuni,siihen asti kun
up,oben,ireki,sus,su,en haut,fel,üles,ylös
upon,auf,Bazen,pe,su,sur,esetén,peale,päälle
us,uns,gurekin,ne,noi,nous,minket,meid,meille
use,benutzen,erabilera,utilizare,uso,utilisation,használat,kasutamine,käyttää
usually,meistens,normalean,de obicei,generalmente,d'habitude,általában,tavaliselt,yleensä
value,Wert,balio,valoare,valore,valeur,érték,väärtus,arvo
various,verschiedene,zenbait,variat,vario,divers,különféle,eri,eri
very,sehr,oso,foarte,molto,très,nagyon,väga,erittäin
victim,Opfer,biktima,victimă,vittima,victime,áldozat,ohver,uhri
view,Aussicht,ikuspegi,vedere,vista,vue,Kilátás,vaade,näkymä
violence,Gewalt,indarkeria,violenţă,violenza,la violence,erőszak,vägivald,väkivalta
visit,Besuch,bisita,vizita,visita,visite,látogatás,külastus,vierailla
voice,Stimme,ahotsa,voce,voce,voix,hang,hääl,ääni
vote,Abstimmung,boto,vot,votazione,vote,szavazás,hääl,äänestys
wait,warten,itxaron,aștepta,aspettare,attendre,várjon,ootama,odota
walk,gehen,oinez,mers pe jos,camminare,marche,séta,kõndima,kävellä
wall,Wand,horma,perete,parete,mur,fal,sein,seinä
want,wollen,nahi,vrei,volere,vouloir,akar,taha,haluta
war,Krieg,gerra,război,guerra,guerre,háború,sõda,sota
watch,sehen,ikusi,ceas,orologio,regarder,néz,vaatama,katsella
water,Wasser,ur,apă,acqua,eau,víz,vesi,vesi
way,Weg,modu,cale,modo,façon,út,tee,tapa
we,wir,dugu,noi,noi,nous,mi,me,me
weapon,Waffe,arma,armă,arma,arme,fegyver,relv,ase
wear,tragen,higadura,purta,indossare,porter,viselet,kandma,pitää päällä
week,Woche,aste,săptămână,settimana,la semaine,hét,nädal,viikko
weight,Gewicht,pisua,greutate,peso,poids,súly,kaal,paino
well,Gut,ondo,bine,bene,bien,jól,hästi,hyvin
west,Westen,mendebaldean,vest,ovest,Ouest,nyugat,läänes,länsi
western,Western,mendebaldeko,vestic,occidentale,occidental,nyugati,Lääne,Läntinen
what,Was,zer,ce,che cosa,quoi,mit,mida,mitä
whatever,was auch immer,edozein izanda,indiferent de,qualunque cosa,peu importe,tök mindegy,mida iganes,aivan sama
when,wann,noiz,cand,quando,quand,amikor,millal,kun
where,woher,non,Unde,dove,où,hol,kus,missä
whether,ob,ala,dacă,se,qu'il s'agisse,vajon,kas,onko
which,welche,bertan,care,quale,lequel,melyik,mis,joka
while,während,bitartean,in timp ce,mentre,tandis que,míg,kuigi,sillä aikaa
white,Weiß,Zuri-,alb,bianca,blanc,fehér,valge,valkoinen
who,Wer,nor,care,chi,qui,ki,kes,Kuka
whole,ganze,osoa,întreg,totale,entier,egész,kogu,koko
whom,wem,nori,pe cine,chi,qui,kit,kellele,ketä
whose,wessen,Zeinen,a caror,di chi,dont,akinek,kelle,jonka
why,Warum,zergatik,De ce,perché,Pourquoi,miért,miks,miksi
wide,breit,zabal,larg,largo,large,széles,lai,leveä
wife,Ehefrau,emaztea,soție,moglie,femme,feleség,naine,vaimo
will,werden,izango,voi,volontà,volonté,akarat,tahe,tahtoa
win,Sieg,irabazi,victorie,vincere,gagner,győzelem,võit,voittaa
wind,Wind,haize,vânt,vento,vent,szél,tuul,tuuli
window,Fenster,leiho,fereastră,finestra,la fenêtre,ablak,aken,ikkuna
wish,Wunsch,nahi,dori,desiderio,souhait,szeretnék,soov,toive
with,mit,batera,cu,con,avec,val vel,koos,kanssa
within,innerhalb,barruan,în,entro,dans,belül,jooksul,sisällä
without,ohne,gabe,fără,senza,sans pour autant,nélkül,ilma,ilman
woman,Frau,emakume,femeie,donna,femme,nő,naine,nainen
wonder,Wunder,galdetzen,mirare,meravigliarsi,merveille,csoda,imestama,ihme
word,Wort,hitza,cuvânt,parola,mot,szó,sõna,sana
work,Arbeit,lan,muncă,lavoro,travail,munka,töö,työ
worker,Arbeitnehmer,langilea,muncitor,lavoratore,ouvrier,munkás,töötaja,työntekijä
world,Welt,mundu,lume,mondo,monde,világ,maailm,maailman-
worry,Sorge,kezkatu,face griji,preoccupazione,inquiéter,aggodalom,muretsema,huoli
would,würde,litzateke,ar,voluto,aurait,lenne,oleks,olisi
write,schreiben,idatzi,scrie,Scrivi,écrire,ír,kirjutama,kirjoittaa
writer,Schriftsteller,idazleak,scriitor,scrittore,écrivain,író,kirjanik,kirjailija
wrong,falsch,oker,gresit,sbagliato,faux,rossz,vale,väärä
yard,Hof,patioan,curte,cortile,Cour,udvar,õu,piha
yeah,Ja,bai,Da,si,Ouais,igen,jah,Joo
year,Jahr,Urte,an,anno,année,év,aasta,vuosi
yes,Ja,bai,da,sì,Oui,Igen,jah,Joo
yet,noch,oraindik,inca,ancora,encore,még,veel,vielä
you,Sie,zuk,tu,tu,vous,Ön,sa,sinä
young,jung,gazte,tineri,giovane,Jeune,fiatal,noor,nuori
your,Ihre,zure,ta,il tuo,votre,a te,oma,teidän
yourself,dich selbst,Zeuk,tu,te stesso,toi même,saját magad,ise,sinä itse
